id,name,create_date,sent_date,subscription_name,sent,open,delivered,bounce,unsubscribed,click,reply,dropped,selected,spamreport,suppressed,hardbounced,softbounced,pending,contactslost,notsent
122028362355,Invitación México Cena evento Banca 20 julio,2023-06-23,2023-07-03,Marketing Information,27,8.0,25.0,2.0,0.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
122540932972,Invitación Cena evento Banca Colombia (Clon4),2023-06-27,2023-06-27,Marketing Information,3,2.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120195885672,3ra Invitación Cena evento Banca Colombia,2023-06-14,2023-06-27,Marketing Information,53,11.0,48.0,5.0,0.0,0.0,1.0,11.0,66.0,0.0,2.0,0.0,5.0,0.0,0.0,13.0
121569016583,Newsletter - 27 de junio,2023-06-21,2023-06-27,Debmedia Blog Subscription,255,80.0,254.0,1.0,0.0,4.0,0.0,201.0,1638.0,0.0,1182.0,1.0,0.0,0.0,1.0,1383.0
122072206777,Invitación Cena evento Banca Colombia (Clon3),2023-06-23,2023-06-23,Marketing Information,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120197912924,2da Invitación Cena evento Banca Colombia,2023-06-14,2023-06-23,Marketing Information,54,16.0,47.0,7.0,0.0,1.0,3.0,9.0,65.0,0.0,2.0,2.0,5.0,0.0,2.0,11.0
122028262479,Invitación Cena evento Banca Colombia (Clon 2),2023-06-23,2023-06-23,Marketing Information,4,2.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
120404889942,Comunicado Mantenimiento sobre todos los ambientes del aplicativo 02/07 (Clon),2023-06-15,2023-06-23,Marketing Information,137,73.0,136.0,1.0,0.0,0.0,0.0,36.0,231.0,0.0,58.0,0.0,1.0,0.0,0.0,94.0
120394469156,Comunicado Mantenimiento sobre todos los ambientes del aplicativo 02/07,2023-06-15,2023-06-23,Marketing Information,739,307.0,720.0,19.0,1.0,9.0,0.0,238.0,1747.0,0.0,770.0,12.0,7.0,0.0,13.0,1008.0
121523333163,Invitación Cena evento Banca Colombia (Clon),2023-06-20,2023-06-20,Marketing Information,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
120196168502,Invitación Cena evento Banca Colombia,2023-06-14,2023-06-20,Marketing Information,52,17.0,45.0,7.0,0.0,1.0,4.0,7.0,61.0,0.0,2.0,2.0,5.0,0.0,2.0,9.0
119841770559,Newsletter - 13 de junio,2023-06-12,2023-06-13,Debmedia Blog Subscription,258,79.0,258.0,0.0,0.0,3.0,0.0,147.0,1281.0,0.0,876.0,0.0,0.0,0.0,0.0,1023.0
118908829954,Newsletter - 6 de junio,2023-06-05,2023-06-06,Debmedia Blog Subscription,264,89.0,263.0,1.0,0.0,6.0,0.0,146.0,1280.0,0.0,870.0,0.0,1.0,0.0,0.0,1016.0
117738864561,Newsletter - 30 mayo,2023-05-29,2023-05-30,Debmedia Blog Subscription,267,97.0,266.0,1.0,1.0,4.0,0.0,145.0,1278.0,0.0,866.0,0.0,1.0,0.0,1.0,1011.0
88574831154,Autoresponder Form Partners Final,2022-10-18,2023-05-29,Nada,56,36.0,55.0,1.0,0.0,2.0,19.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
117698833330,Preguntas Webinar Partners Mejores Prácticas del Sistema,2023-05-29,2023-05-29,Marketing Information,120,54.0,119.0,1.0,0.0,0.0,3.0,23.0,233.0,0.0,90.0,0.0,1.0,0.0,0.0,113.0
116665751613,Newsletter - 23 mayo,2023-05-23,2023-05-23,Debmedia Blog Subscription,278,99.0,277.0,1.0,1.0,4.0,0.0,142.0,1276.0,0.0,856.0,0.0,1.0,0.0,1.0,998.0
115590823234,Newsletter - 16 mayo,2023-05-15,2023-05-16,Debmedia Blog Subscription,279,95.0,278.0,1.0,1.0,3.0,0.0,142.0,1274.0,0.0,853.0,0.0,1.0,0.0,1.0,995.0
114905716804,Release debQ v3.90.0 / Citas v1.54.0 / Mobile v1.49.0,2023-05-09,2023-05-09,Marketing Information,740,307.0,728.0,12.0,1.0,8.0,0.0,224.0,1621.0,0.0,657.0,6.0,6.0,0.0,7.0,881.0
114689043296,Newsletter - 9 mayo,2023-05-08,2023-05-09,Debmedia Blog Subscription,285,98.0,284.0,1.0,1.0,5.0,0.0,139.0,1271.0,0.0,847.0,0.0,1.0,0.0,1.0,986.0
114302929783,Mail 1: Campaña ebook transformación digital en los canales de atención,2023-05-04,2023-05-04,Nada,731,387.0,713.0,18.0,4.0,322.0,0.0,8.0,740.0,0.0,1.0,17.0,1.0,0.0,21.0,9.0
114056225626,En- Primer Mail Autoresponder,2023-05-03,2023-05-03,Marketing Information,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114054992031,Pt- Primer Mail Autoresponder,2023-05-03,2023-05-03,Marketing Information,4,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
113827101259,Newsletter - 2 mayo,2023-05-02,2023-05-02,Debmedia Blog Subscription,289,98.0,287.0,2.0,0.0,4.0,0.0,137.0,1270.0,0.0,844.0,1.0,1.0,0.0,1.0,981.0
112605537692,Newsletter - 25 abril,2023-04-24,2023-04-25,Debmedia Blog Subscription,298,87.0,297.0,1.0,0.0,5.0,0.0,137.0,1268.0,0.0,833.0,0.0,1.0,0.0,0.0,970.0
111031675177,Newsletter - 18 abril,2023-04-14,2023-04-18,Debmedia Blog Subscription,302,89.0,301.0,1.0,1.0,5.0,0.0,134.0,1266.0,0.0,830.0,0.0,1.0,0.0,1.0,964.0
111371697459,3ra Invitación Tempetié Abril Argentina Banca,2023-04-17,2023-04-17,Marketing Information,27,5.0,25.0,2.0,0.0,0.0,1.0,1.0,30.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0
110687076531,2da Invitación Tempetié Abril Argentina Banca,2023-04-12,2023-04-13,Marketing Information,26,9.0,24.0,2.0,0.0,0.0,3.0,1.0,29.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0
110347596369,Newsletter - 11 abril,2023-04-10,2023-04-11,Debmedia Blog Subscription,307,98.0,306.0,1.0,1.0,8.0,0.0,132.0,1264.0,0.0,825.0,0.0,1.0,0.0,1.0,957.0
110368237911,Invitación Tempetié Abril Argentina Banca,2023-04-10,2023-04-10,Marketing Information,29,10.0,27.0,2.0,0.0,2.0,2.0,1.0,32.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0
109491566968,Newsletter - 4 abril,2023-04-04,2023-04-04,Debmedia Blog Subscription,309,116.0,308.0,1.0,2.0,9.0,0.0,130.0,1262.0,0.0,823.0,0.0,1.0,0.0,2.0,953.0
80134764329,Mail 4: Campaña ebook Salud MX,2022-07-25,2023-04-04,Nada,256,100.0,256.0,0.0,2.0,3.0,0.0,17.0,274.0,0.0,1.0,0.0,0.0,0.0,2.0,18.0
80134764042,Mail 3: Campaña ebook Salud MX,2022-07-25,2023-04-04,Nada,263,101.0,263.0,0.0,4.0,7.0,0.0,11.0,274.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0
80128981083,Mail 2: Campaña ebook Salud MX,2022-07-25,2023-04-04,Nada,445,187.0,444.0,1.0,9.0,10.0,0.0,10.0,455.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0
109028956005,Mail envío de material y grabación Partners Marzo 2023,2023-03-31,2023-03-31,Nada,136,65.0,134.0,2.0,0.0,13.0,3.0,21.0,229.0,0.0,72.0,0.0,2.0,0.0,0.0,93.0
106787903525,Mail 3: Recordatorio 15 min Webinar Partners,2023-03-16,2023-03-29,Nada,138,59.0,136.0,2.0,0.0,18.0,1.0,21.0,229.0,0.0,70.0,0.0,2.0,0.0,0.0,91.0
106776808063,Confirmación registro Webinar Partners Marzo,2023-03-16,2023-03-29,Nada,41,33.0,41.0,0.0,0.0,10.0,0.0,0.0,43.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
